date,archetype
2014-01-02,Abzan Midrange decks
2014-01-02,Boros Aggro decks
2014-01-02,Esper Control decks
2014-01-02,Golgari Control decks
2014-01-02,Mono Blue Aggro decks
2014-01-02,Mono Blue Aggro decks
2014-01-02,Orzhov Control decks
2014-01-02,UW Control decks
2014-01-03,Devotion to Black decks
2014-01-03,Devotion to Black decks
2014-01-03,Devotion to Black decks
2014-01-03,Devotion to Red decks
2014-01-03,Esper Midrange decks
2014-01-03,Mono Blue Aggro decks
2014-01-03,Orzhov Control decks
2014-01-03,Orzhov Control decks
2014-01-04,Boros Aggro decks
2014-01-04,Boros Aggro decks
2014-01-04,Boros Aggro decks
2014-01-04,Boros Aggro decks
2014-01-04,Devotion to Black decks
2014-01-04,Devotion to Black decks
2014-01-04,Devotion to Black decks
2014-01-04,Devotion to Black decks
2014-01-04,Devotion to Black decks
2014-01-04,Devotion to Black decks
2014-01-04,Devotion to Black decks
2014-01-04,Devotion to Red decks
2014-01-04,Devotion to Red decks
2014-01-04,Esper Control decks
2014-01-04,Gruul Aggro decks
2014-01-04,Gruul Aggro decks
2014-01-04,Mono Blue Aggro decks
2014-01-04,Mono Blue Aggro decks
2014-01-04,Mono Blue Aggro decks
2014-01-04,Mono Blue Aggro decks
2014-01-04,Mono Blue Aggro decks
2014-01-04,Mono Blue Aggro decks
2014-01-04,Orzhov Control decks
2014-01-04,Orzhov Control decks
2014-01-04,Selesnya Aggro decks
2014-01-04,Selesnya Aggro decks
2014-01-04,UW Control decks
2014-01-04,UW Control decks
2014-01-04,UW Control decks
2014-01-04,UW Control decks
2014-01-04,UW Control decks
2014-01-04,UW Control decks
2014-01-05,Canadian Threshold decks
2014-01-05,Loam decks
2014-01-05,Patriot Aggro decks
2014-01-05,Patriot Aggro decks
2014-01-05,Patriot Aggro decks
2014-01-05,Show and Tell decks
2014-01-05,Storm decks
2014-01-05,The Rock (Junk) decks
2014-01-10,Elves decks
2014-01-10,Elves decks
2014-01-10,Merfolk decks
2014-01-10,Storm decks
2014-01-11,Bant Aggro decks
2014-01-11,Belcher decks
2014-01-11,Belcher decks
2014-01-11,Boros Aggro decks
2014-01-11,Boros Aggro decks
2014-01-11,Boros Aggro decks
2014-01-11,BUG Midrange decks
2014-01-11,BUG Midrange decks
2014-01-11,Burn decks
2014-01-11,Death & Taxes decks
2014-01-11,Devotion to Black decks
2014-01-11,Devotion to Black decks
2014-01-11,Devotion to Black decks
2014-01-11,Devotion to Black decks
2014-01-11,Elves decks
2014-01-11,Esper Midrange decks
2014-01-11,Esper Midrange decks
2014-01-11,Jund decks
2014-01-11,Jund decks
2014-01-11,Maverick decks
2014-01-11,Mono Blue Aggro decks
2014-01-11,Mono Blue Aggro decks
2014-01-11,Mono Blue Aggro decks
2014-01-11,Nic Fit  decks
2014-01-11,Patriot Aggro decks
2014-01-11,Selesnya Aggro decks
2014-01-11,Stoneblade decks
2014-01-11,Stoneblade decks
2014-01-11,Stoneblade decks
2014-01-11,Stoneblade decks
2014-01-11,Storm decks
2014-01-11,UW Control decks
2014-01-11,UWx Control decks
2014-01-11,UWx Control decks
2014-01-12,Affinity decks
2014-01-12,BUG Midrange decks
2014-01-12,BUG Midrange decks
2014-01-12,Dark Depths decks
2014-01-12,Death & Taxes decks
2014-01-12,Devotion to Black decks
2014-01-12,Devotion to Black decks
2014-01-12,Jund decks
2014-01-12,Loam decks
2014-01-12,Mono Blue Aggro decks
2014-01-12,Mono Blue Aggro decks
2014-01-12,MUD decks
2014-01-12,Orzhov Control decks
2014-01-12,Patriot Aggro decks
2014-01-12,Patriot Aggro decks
2014-01-12,Patriot Aggro decks
2014-01-12,Patriot Aggro decks
2014-01-12,Show and Tell decks
2014-01-12,Show and Tell decks
2014-01-12,Show and Tell decks
2014-01-12,Show and Tell decks
2014-01-12,Stoneblade decks
2014-01-12,Stoneblade decks
2014-01-12,Stoneblade decks
2014-01-12,UWx Control decks
2014-01-18,Ad Nauseam decks
